repo_name,category,stars,forks,open_issues,size_kb,primary_language,age_days,created_at,last_updated,description,has_wiki,has_issues,is_fork,license,status
OpenRLHF/OpenRLHF,NLP,9545.0,947.0,334.0,4583.0,Python,1030.0,2023-07-30,2026-05-25,"An Easy-to-use, Scalable and High-performance Agentic RL Framework based on Ray (PPO & DAPO & REINFORCE++ &  VLM & TIS & vLLM & Ray & Async  RL)",True,True,False,Apache-2.0,ok
meituan/YOLOv6,Computer Vision,5886.0,1061.0,274.0,37809.0,Jupyter Notebook,1447.0,2022-06-08,2026-05-24,YOLOv6: a single-stage object detection framework dedicated to industrial applications.,True,True,False,GPL-3.0,ok
huggingface/tokenizers,Deep Learning,10768.0,1107.0,180.0,17922.0,Rust,2397.0,2019-11-01,2026-05-25,💥 Fast State-of-the-Art Tokenizers optimized for Research and Production,True,True,False,Apache-2.0,ok
CarperAI/trlx,NLP,4749.0,485.0,102.0,47806.0,Python,1330.0,2022-10-03,2026-05-23,A repo for distributed training of language models with Reinforcement Learning via Human Feedback (RLHF),True,True,False,MIT,ok
huggingface/hub-docs,Deep Learning,557.0,452.0,164.0,27438.0,Handlebars,1531.0,2022-03-16,2026-05-25,Docs of the Hugging Face Hub,True,True,False,Apache-2.0,ok
facebookresearch/audiocraft,Deep Learning,23311.0,2629.0,385.0,25025.0,Jupyter Notebook,1082.0,2023-06-08,2026-05-25,"Audiocraft is a library for audio processing and generation with deep learning. It features the state-of-the-art EnCodec audio compressor / tokenizer, along with MusicGen, a simple and controllable mu",False,True,False,MIT,ok
facebookresearch/esm,Deep Learning,4087.0,792.0,115.0,12035.0,Python,2093.0,2020-08-31,2026-05-25,Evolutionary Scale Modeling (esm): Pretrained language models for proteins,False,True,False,MIT,ok
suno-ai/bark,Deep Learning,39142.0,4684.0,268.0,2641.0,Jupyter Notebook,1144.0,2023-04-07,2026-05-25,🔊 Text-Prompted Generative Audio Model,True,True,False,MIT,ok
opencv/opencv-python,Computer Vision,5265.0,1015.0,211.0,2028.0,Python,3699.0,2016-04-08,2026-05-25,"Automated CI toolchain to produce precompiled opencv-python, opencv-python-headless, opencv-contrib-python and opencv-contrib-python-headless packages.",True,True,False,MIT,ok
kornia/kornia,Computer Vision,11212.0,1180.0,66.0,87441.0,Python,2833.0,2018-08-22,2026-05-25,🐍 Geometric Computer Vision Library for Spatial AI,True,True,False,Apache-2.0,ok
coqui-ai/TTS,Deep Learning,45402.0,6111.0,6.0,170196.0,Python,2196.0,2020-05-20,2026-05-25,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production",True,True,False,MPL-2.0,ok
facebookresearch/jepa,Deep Learning,3860.0,388.0,62.0,50.0,Python,833.0,2024-02-12,2026-05-25,PyTorch code and models for V-JEPA self-supervised learning from video.,False,True,False,NOASSERTION,ok
scikit-image/scikit-image,Computer Vision,6520.0,2381.0,903.0,83064.0,Python,5436.0,2011-07-07,2026-05-25,Image processing in Python,True,True,False,NOASSERTION,ok
haotian-liu/LLaVA,Deep Learning,24828.0,2769.0,1142.0,14057.0,Python,1134.0,2023-04-17,2026-05-25,[NeurIPS'23 Oral] Visual Instruction Tuning (LLaVA) built towards GPT-4V level capabilities and beyond.,True,True,False,Apache-2.0,ok
google-deepmind/alphageometry,Deep Learning,4846.0,576.0,138.0,203.0,Python,959.0,2023-10-09,2026-05-25,,False,True,False,Apache-2.0,ok
Zulko/moviepy,Computer Vision,14634.0,2064.0,86.0,169981.0,Python,4669.0,2013-08-12,2026-05-25,Video editing with Python,True,True,False,MIT,ok
IST-DASLab/gptq,NLP,2308.0,197.0,27.0,296.0,Python,1314.0,2022-10-19,2026-05-23,"Code for the ICLR 2023 paper ""GPTQ: Accurate Post-training Quantization of Generative Pretrained Transformers"".",True,True,False,Apache-2.0,ok
google-deepmind/alphamissense,Deep Learning,633.0,85.0,1.0,207.0,Python,985.0,2023-09-13,2026-05-18,,False,False,False,Apache-2.0,ok
QwenLM/Qwen,Deep Learning,21190.0,1817.0,37.0,37377.0,Python,1026.0,2023-08-03,2026-05-25,The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.,False,True,False,Apache-2.0,ok
